4-way-label,2-way-label
,True
True,True
True,True
True,True
Mostly False,False
True,True
True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
True,True
True,True
,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
,True
True,True
,True
Mostly False,False
True,True
,False
Mostly True,True
True,True
Mostly True,True
True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly False,False
,True
,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
,True
,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly False,False
Mostly False,False
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
,False
,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
,True
True,True
True,True
Mostly False,False
True,True
,True
True,True
Mostly True,True
True,True
True,True
,False
True,True
True,True
Mostly True,True
,True
True,True
,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly False,False
True,True
True,True
,True
Mostly False,False
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
True,True
,True
True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
,False
True,True
True,True
,True
True,True
Mostly True,True
,True
,True
,True
True,True
True,True
,True
True,True
True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
Mostly False,False
Mostly True,True
,False
True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly False,False
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
,True
Mostly True,True
,True
True,True
True,True
True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
,False
True,True
True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
,True
True,True
True,True
True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly False,False
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
,False
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
,True
,True
True,True
,True
Mostly True,True
,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
,False
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
,True
,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,False
True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
,False
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
Mostly False,False
True,True
,False
Mostly False,False
True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
True,True
Mostly False,False
,True
,True
Mostly True,True
,True
True,True
,True
Mostly True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
True,True
,True
True,True
,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
,True
True,True
,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
,False
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly False,False
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly False,False
True,True
,True
Mostly True,True
True,True
True,True
,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly False,False
Mostly True,True
,True
True,True
True,True
True,True
True,True
True,True
,True
,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly False,False
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
True,True
True,True
,True
True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly False,False
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
,True
True,True
Mostly True,True
Mostly False,False
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
True,True
True,True
True,True
,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly False,False
True,True
True,True
True,True
True,True
,False
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
,False
True,True
True,True
,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly False,False
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
True,True
True,True
True,True
Mostly True,True
,True
,True
True,True
Mostly False,False
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly False,False
Mostly True,True
Mostly False,False
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
Mostly True,True
,False
Mostly True,True
,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
,True
Mostly True,True
,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly False,False
True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
Mostly True,True
,False
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
,True
True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
Mostly True,True
,True
,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
,True
,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
,True
,True
Mostly True,True
Mostly True,True
True,True
True,True
,False
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
True,True
True,True
,True
,True
True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
,True
True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
True,True
True,True
,True
Mostly True,True
True,True
True,True
True,True
,True
True,True
Mostly True,True
True,True
,True
,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
,False
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
,True
True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly False,False
True,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly False,False
,True
,True
,True
True,True
Mostly True,True
True,True
,True
,True
True,True
True,True
,True
True,True
True,True
,True
Mostly True,True
True,True
,True
,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly False,False
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
,True
Mostly True,True
,True
,False
True,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
True,True
,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
,True
Mostly True,True
True,True
True,True
,True
,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly False,False
Mostly True,True
Mostly True,True
Mostly True,True
,False
Mostly True,True
Mostly True,True
True,True
,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
True,True
,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
True,True
,True
True,True
True,True
,True
True,True
Mostly True,True
True,True
,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
,True
,True
True,True
Mostly False,False
,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
False,False
Mostly True,True
,True
True,True
True,True
Mostly False,False
True,True
Mostly True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
,False
Mostly True,True
,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
True,True
,True
True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly False,False
True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly False,False
,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
True,True
True,True
,False
,True
,True
True,True
,False
Mostly True,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
,True
,True
True,True
True,True
,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
,True
Mostly False,False
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
,True
,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
,True
,True
True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
Mostly False,False
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
,False
Mostly True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
,True
True,True
True,True
True,True
True,True
,False
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
True,True
True,True
True,True
Mostly True,True
Mostly False,False
True,True
True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
Mostly True,True
True,True
True,True
Mostly True,True
True,True
,True
Mostly True,True
True,True
Mostly True,True
Mostly True,True
True,True
True,True
Mostly True,True
,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
Mostly True,True
True,True
Mostly False,False
True,True
Mostly True,True
Mostly True,True
True,True
True,True
True,True
Mostly True,True
Mostly True,True
True,True
,True
True,True
True,True
